timestamp,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
24:46.2,1084.7,0.2915,1.9333,-0.8898,0,0,0
24:46.2,1084.7,0.2915,1.9333,-0.8898,0,0,0
24:46.4,1110.9,-2,-0.6518,-1.2575,0,0,0
24:46.4,1110.9,-2,-0.6518,-1.2575,0,0,0
24:46.4,1084.7,-0.9301,-2,-0.9877,0,0,0
24:46.4,1084.7,-0.9301,-2,-0.9877,0,0,0
24:46.5,1084.7,-0.9301,-2,-0.9877,0,0,0
24:46.5,1084.7,-0.9301,-2,-0.9877,0,0,0
24:47.4,1097.8,0.894,1.9999,-1.3032,0,0,0
24:47.4,1097.8,0.894,1.9999,-1.3032,0,0,0
24:47.7,1124,0.0043,-0.0935,-1.0988,0,0,0
24:47.7,1124,0.0043,-0.0935,-1.0988,0,0,0
24:48.3,1176.5,-1.3171,-0.4519,-0.8425,0,0,0
24:48.3,1176.5,-1.3171,-0.4519,-0.8425,0,0,0
24:48.6,1124,-0.9985,-1.5788,-1.2524,0,0,0
24:48.6,1124,-0.9985,-1.5788,-1.2524,0,0,0
24:48.9,1058.5,1.0522,-0.8962,-0.8457,0,0,0
24:48.9,1058.5,1.0522,-0.8962,-0.8457,0,0,0
24:49.5,1110.9,0.7055,0.8369,-2,0,0,0
24:49.5,1110.9,0.7055,0.8369,-2,0,0,0
24:49.8,1150.3,-1.2863,-0.6672,-1.1752,0,0,0
24:49.8,1150.3,-1.2863,-0.6672,-1.1752,0,0,0
24:50.4,1097.8,0.6108,0.2746,-0.4084,0,0,0
24:50.4,1097.8,0.6108,0.2746,-0.4084,0,0,0
24:51.0,1110.9,0.5124,-0.8527,-0.1928,0,0,0
24:51.0,1110.9,0.226,0.9318,0.8676,0,0,0
24:51.0,1110.9,0.226,0.9318,0.8676,0,0,0
24:51.3,1097.8,-0.2453,0.1662,0.9521,0,0,0
24:51.3,1097.8,-0.2453,0.1662,0.9521,0,0,0
24:51.6,1163.4,0.1701,0.1064,0.9782,0,0,0
24:51.6,1163.4,0.1701,0.1064,0.9782,0,0,0
24:51.9,1176.5,-0.0744,-0.082,0.9775,0,0,0
24:51.9,1176.5,-0.0744,-0.082,0.9775,0,0,0
24:52.2,1124,0.0253,-0.0864,1.0834,0,0,0
24:52.2,1124,0.0253,-0.0864,1.0834,0,0,0
24:52.5,1137.2,-0.0947,-0.0969,0.9758,0,0,0
24:52.5,1137.2,-0.0947,-0.0969,0.9758,0,0,0
24:53.1,1150.3,-0.0776,-0.0561,0.9562,0,0,0
24:53.1,1150.3,-0.0776,-0.0561,0.9562,0,0,0
24:53.4,1176.5,-0.1115,-0.0263,0.9577,0,0,0
24:53.4,1176.5,-0.1115,-0.0263,0.9577,0,0,0
24:53.7,1176.5,-0.0961,-0.0573,0.9584,0,0,0
24:53.7,1176.5,-0.0961,-0.0573,0.9584,0,0,0
24:54.0,1150.3,-0.0598,-0.0515,0.9831,0,0,0
24:54.0,1150.3,-0.0598,-0.0515,0.9831,0,0,0
24:54.3,1124,-0.0925,-0.0527,0.9489,0,0,0
24:54.3,1124,-0.0925,-0.0527,0.9489,0,0,0
24:54.9,1150.3,-0.0998,-0.0141,0.9475,0,0,0
