timestamp,pressure,accel_x,accel_y,accel_z
2025-05-09 12:40:40.665802,495.0,0.0378,-0.0126,0.9682
2025-05-09 12:40:40.666067,495.0,0.0378,-0.0126,0.9682
2025-05-09 12:40:40.925459,455.7,0.0424,-0.0085,0.9743
2025-05-09 12:40:41.248677,468.8,0.0339,-0.0075,0.9738
2025-05-09 12:40:41.248830,468.8,0.0339,-0.0075,0.9738
2025-05-09 12:40:41.867128,429.5,0.0393,-0.0209,0.9565
2025-05-09 12:40:41.867320,429.5,0.0393,-0.0209,0.9565
2025-05-09 12:40:42.457123,455.7,0.0336,-0.0083,0.9775
2025-05-09 12:40:42.457446,455.7,0.0336,-0.0083,0.9775
2025-05-09 12:40:42.466592,442.59999999999997,0.0424,-0.0141,0.9709
2025-05-09 12:40:42.467133,442.59999999999997,0.0424,-0.0141,0.9709
2025-05-09 12:40:43.007233,481.9,0.0319,-0.0139,0.9663
2025-05-09 12:40:43.065184,455.7,0.0366,-0.0085,0.9748
2025-05-09 12:40:43.065775,455.7,0.0366,-0.0085,0.9748
2025-05-09 12:40:43.356178,455.7,0.0405,-0.0139,0.9602
2025-05-09 12:40:43.356503,455.7,0.0405,-0.0139,0.9602
2025-05-09 12:40:44.553271,468.8,0.0419,-0.0183,0.9665
2025-05-09 12:40:44.553591,468.8,0.0419,-0.0183,0.9665
2025-05-09 12:40:46.028084,442.59999999999997,0.0373,-0.0087,0.9645
2025-05-09 12:40:46.065894,481.9,0.028,-0.0126,0.9667
2025-05-09 12:40:46.066203,481.9,0.028,-0.0126,0.9667
2025-05-09 12:40:47.589037,429.5,0.0395,-0.0175,0.9672
2025-05-09 12:40:48.110760,495.0,0.0354,-0.0156,0.9682
2025-05-09 12:40:48.110940,495.0,0.0354,-0.0156,0.9682
2025-05-09 12:40:48.215694,495.0,0.0354,-0.0092,0.9689
2025-05-09 12:40:48.216048,495.0,0.0354,-0.0092,0.9689
2025-05-09 12:40:48.416004,468.8,0.0351,-0.0112,0.9733
2025-05-09 12:40:48.451335,468.8,0.0351,-0.0112,0.9733
2025-05-09 12:40:48.451726,468.8,0.0351,-0.0112,0.9733
2025-05-09 12:40:49.057948,455.7,0.0354,-0.0192,0.9709
2025-05-09 12:40:49.058126,455.7,0.0354,-0.0192,0.9709
