00:39.9 11634.7 0.1077 0.0229 0.9707 -2.4 1.1 0.4
00:40.0 11372.5 0.1055 0.0225 0.9768 -2.5 1.2 0.2
00:40.1 11503.6 0.1108 0.0242 0.9653 -2.4 1.3 0.2
00:40.2 11765.8 0.1099 0.0166 0.9612 -2.2 1.3 0.2
00:40.3 11372.5 0.1030 0.0225 0.9602 -2.1 1.3 0.2
00:40.4 11372.5 0.1047 0.0193 0.9626 -2.0 1.4 0.3
00:40.5 11372.5 0.1074 0.0210 0.9646 -2.0 1.3 0.1
00:40.6 11503.6 0.1062 0.0215 0.9705 -2.2 1.5 0.2
00:40.7 11241.5 0.1108 0.0161 0.9617 -2.3 1.4 0.2
00:40.8 11110.4 0.1077 0.0227 0.9753 -2.3 1.4 0.2
00:40.9 11372.5 0.1086 0.0181 0.9751 -2.1 1.5 0.2
00:41.0 11503.6 0.1096 0.0168 0.9683 -2.3 1.2 0.1
00:41.1 11372.5 0.1030 0.0200 0.9741 -2.2 1.1 0.1
00:41.2 11503.6 0.1040 0.0210 0.9746 -2.3 1.3 0.3
00:41.3 11241.5 0.1016 0.0215 0.9695 -2.3 1.3 0.2
00:41.4 11372.5 0.1062 0.0217 0.9817 -2.2 1.3 0.1
00:41.5 11765.8 0.1091 0.0249 0.9763 -2.2 1.5 0.2
00:41.6 11634.7 0.1035 0.0249 0.9712 -2.3 1.5 0.3
00:41.7 11503.6 0.1045 0.0220 0.9656 -2.3 1.4 0.0
00:41.8 11372.5 0.1104 0.0283 0.9653 -2.2 1.2 0.4
00:41.9 11241.5 0.1035 0.0300 0.9731 -2.2 1.3 0.3
00:42.0 11372.5 0.1050 0.0176 0.9639 -2.2 1.6 0.2
00:42.1 11241.5 0.1030 0.0198 0.9692 -2.4 1.6 0.3
00:42.2 11241.5 0.1086 0.0227 0.9705 -2.4 1.3 0.2
00:42.3 11634.7 0.1104 0.0166 0.9712 -2.3 1.2 0.3
00:42.4 11765.8 0.1128 0.0212 0.9705 -2.3 1.3 0.4
00:42.5 11372.5 0.1016 0.0171 0.9736 -2.3 1.2 0.3
