timestamp,packet_id,pressure,accel_x,accel_y,accel_z
2025-07-17 14:09:13.220842,183,-1865.8,0.0429,0.4677,0.9721
2025-07-17 14:09:14.061787,193,-2390.1,0.0429,0.468,0.9685
2025-07-17 14:09:14.161787,193,-2259.0,0.0461,0.4675,0.9807
2025-07-17 14:09:14.268535,195,-2127.9,0.0427,0.4655,0.9916
2025-07-17 14:09:14.368535,195,-2127.9,0.0363,0.4628,0.9902
2025-07-17 14:09:14.575101,198,-2259.0,0.0354,0.4643,0.9641
2025-07-17 14:09:14.675101,198,-2127.9,0.0432,0.4655,0.965
2025-07-17 14:09:15.766554,210,-1996.8,0.0463,0.4658,0.9711
2025-07-17 14:09:15.866554,210,-2127.9,0.051,0.466,0.978
2025-07-17 14:09:16.063405,213,-1603.6,0.0451,0.4665,0.9807
2025-07-17 14:09:16.163405,213,-1472.6,0.0502,0.467,0.9794
2025-07-17 14:09:16.352625,216,-2127.9,0.048,0.4616,0.9721
2025-07-17 14:09:16.452625,216,-2259.0,0.0419,0.4648,0.9709
2025-07-17 14:09:16.734107,220,-1734.7,0.0424,0.465,0.9785
2025-07-17 14:09:16.834107,220,-1603.6,0.0456,0.4636,0.9765
2025-07-17 14:09:17.295700,225,-2259.0,0.0483,0.4643,0.977
2025-07-17 14:09:17.395700,225,-1996.8,0.0336,0.4628,0.9882
2025-07-17 14:09:17.864957,231,-2259.0,0.0498,0.466,0.9782
2025-07-17 14:09:17.964957,231,-1996.8,0.0515,0.4628,0.9663
2025-07-17 14:09:18.136794,234,-1865.8,0.0444,0.4628,0.9882
2025-07-17 14:09:18.236794,234,-2127.9,0.049,0.4658,0.989
2025-07-17 14:09:18.770634,240,-1996.8,0.0517,0.4616,0.978
2025-07-17 14:09:18.870634,240,-1865.8,0.0456,0.4599,0.977
2025-07-17 14:09:19.067643,243,-1734.7,0.0454,0.4606,0.9621
2025-07-17 14:09:19.167643,243,-1603.6,0.0168,0.457,0.9655
2025-07-17 14:09:20.615518,2,-1734.7,-0.0551,0.0173,1.0759
2025-07-17 14:09:20.715518,2,-1734.7,-0.0434,0.0131,1.0439
2025-07-17 14:09:21.333060,10,-1603.6,0.0939,-0.0227,1.081
2025-07-17 14:09:21.433060,10,-1996.8,0.0927,-0.0173,1.0878
2025-07-17 14:09:21.559637,11,-1734.7,0.1013,-0.0175,1.0817
2025-07-17 14:09:21.793264,14,-1472.6,0.0966,-0.0202,1.0793
