id,timestamp,packet_id,pressure,accel_x,accel_y,accel_z
102_1,2025-07-19 01:05:12.430405,102,100.3,-0.0693,-0.1997,1.0634
102_2,2025-07-19 01:05:12.530405,102,100.3,-0.1086,-0.2062,1.0505
102_3,2025-07-19 01:05:12.630405,102,-424.0,-0.0754,-0.1811,1.1962
106_1,2025-07-19 01:05:12.887258,106,-292.9,-0.1989,-0.0456,1.0632
106_2,2025-07-19 01:05:12.987258,106,-292.9,-0.1723,0.0375,1.0563
106_3,2025-07-19 01:05:13.087258,106,-555.1,-0.1884,0.1601,1.0581
111_1,2025-07-19 01:05:13.335074,111,-161.8,-0.1264,0.2575,0.9758
111_2,2025-07-19 01:05:13.435074,111,-161.8,0.0053,0.3103,1.0605
111_3,2025-07-19 01:05:13.535074,111,-292.9,-0.0361,0.2895,0.9716
114_1,2025-07-19 01:05:13.630786,114,-555.1,-0.0903,0.288,1.0402
114_2,2025-07-19 01:05:13.730786,114,-686.1,-0.196,0.2199,1.0959
114_3,2025-07-19 01:05:13.830786,114,-686.1,-0.1794,0.1457,1.1037
117_1,2025-07-19 01:05:14.231857,117,-424.0,-0.0253,0.1069,1.1059
117_2,2025-07-19 01:05:14.331857,117,-292.9,0.059,0.0932,1.0593
117_3,2025-07-19 01:05:14.431857,117,-555.1,0.3007,0.0632,1.049
123_1,2025-07-19 01:05:14.534514,123,-161.8,0.4519,0.0185,1.041
123_2,2025-07-19 01:05:14.634514,123,-292.9,0.3315,0.0456,0.9885
123_3,2025-07-19 01:05:14.734514,123,-424.0,0.3662,0.0925,0.9736
126_1,2025-07-19 01:05:14.830964,126,-292.9,0.5368,0.0275,0.853
126_2,2025-07-19 01:05:14.930964,126,-292.9,0.5405,0.0319,0.9448
126_3,2025-07-19 01:05:15.030964,126,-292.9,0.5505,0.051,1.0029
129_1,2025-07-19 01:05:15.131328,129,-555.1,0.4902,0.052,0.9143
129_2,2025-07-19 01:05:15.231328,129,-817.2,0.5019,0.0415,0.9497
129_3,2025-07-19 01:05:15.331328,129,-817.2,0.6674,0.0539,0.8259
138_1,2025-07-19 01:05:16.034791,138,-555.1,0.6745,0.2443,0.8364
138_2,2025-07-19 01:05:16.134791,138,-686.1,0.6301,0.2304,0.7944
138_3,2025-07-19 01:05:16.234791,138,-555.1,0.6833,0.2451,0.7951
141_1,2025-07-19 01:05:16.634626,141,-817.2,0.6809,0.1831,0.8034
141_2,2025-07-19 01:05:16.734626,141,-686.1,0.5019,0.2543,0.9396
141_3,2025-07-19 01:05:16.834626,141,-555.1,0.5407,0.1928,0.9868
144_1,2025-07-19 01:05:16.933266,144,-817.2,0.5241,0.1967,0.9467
144_2,2025-07-19 01:05:17.033266,144,-555.1,0.528,0.2446,0.8752
144_3,2025-07-19 01:05:17.133266,144,-292.9,0.5449,0.216,0.8999
147_1,2025-07-19 01:05:16.933661,147,-292.9,0.6162,0.1643,0.8627
147_2,2025-07-19 01:05:17.033661,147,-424.0,0.5642,0.1479,0.8168
147_3,2025-07-19 01:05:17.133661,147,-555.1,0.6062,0.2121,0.8376
150_1,2025-07-19 01:05:17.232567,150,-555.1,0.592,0.2014,0.8872
150_2,2025-07-19 01:05:17.332567,150,-817.2,0.5561,0.2307,0.9135
150_3,2025-07-19 01:05:17.432567,150,-817.2,0.5334,0.2402,0.8854
153_1,2025-07-19 01:05:17.537636,153,-292.9,0.4621,0.2141,0.9645
153_2,2025-07-19 01:05:17.637636,153,-424.0,0.4169,0.2048,0.9919
153_3,2025-07-19 01:05:17.737636,153,-424.0,0.3706,0.1682,0.9968
156_1,2025-07-19 01:05:17.834889,156,-292.9,0.3225,0.1411,0.9843
156_2,2025-07-19 01:05:17.934889,156,-555.1,0.288,0.1347,1.0166
