date_time timestamp pressure accel_x accel_y accel_z gyro_x gyro_y gyro_z
2025-05-21 11:04:44.372 16:24.3 3195.0 0.0203 -0.0015 0.9675 -2.2 1.5 0.2
2025-05-21 11:04:44.472 16:24.4 3181.9 0.0195 -0.0061 0.9778 -2.3 1.6 0.3
2025-05-21 11:04:44.572 16:24.5 3181.9 0.0190 0.0012 0.9714 -2.3 1.3 0.2
2025-05-21 11:04:44.672 16:24.6 3168.8 0.0156 0.0010 0.9773 -2.3 1.3 0.1
2025-05-21 11:04:44.772 16:24.7 3195.0 0.0164 -0.0029 0.9795 -2.2 1.5 0.3
2025-05-21 11:04:44.872 16:24.8 3195.0 0.0164 -0.0020 0.9702 -2.3 1.2 0.3
2025-05-21 11:04:44.972 16:24.9 3181.9 0.0208 -0.0029 0.9731 -2.0 1.5 0.5
2025-05-21 11:04:45.072 16:25.0 3208.1 0.0176 0.0015 0.9712 -2.0 1.1 0.2
2025-05-21 11:04:45.172 16:25.1 3208.1 0.0146 0.0029 0.9712 -2.2 1.2 0.2
2025-05-21 11:04:45.273 16:25.2 3208.1 0.0217 -0.0005 0.9707 -2.2 1.4 0.3
2025-05-21 11:04:45.372 16:25.3 3208.1 0.0142 -0.0051 0.9714 -2.1 1.4 0.3
2025-05-21 11:04:45.472 16:25.4 3181.9 0.0183 -0.0046 0.9683 -2.2 1.3 0.3
2025-05-21 11:04:45.572 16:25.5 3208.1 0.0156 0.0066 0.9739 -2.3 1.4 0.3
2025-05-21 11:04:45.672 16:25.6 3195.0 0.0125 0.0027 0.9771 -2.3 1.1 0.3
2025-05-21 11:04:45.772 16:25.7 3168.8 0.0195 0.0083 0.9724 -2.2 1.6 0.4
2025-05-21 11:04:45.872 16:25.8 3168.8 0.0193 0.0029 0.9707 -2.4 1.4 0.3
2025-05-21 11:04:45.972 16:25.9 3181.9 0.0188 -0.0020 0.9700 -2.2 1.3 0.2
2025-05-21 11:04:46.072 16:26.0 3168.8 0.0237 0.0044 0.9744 -2.2 1.4 0.3
2025-05-21 11:04:46.172 16:26.1 3168.8 0.0208 -0.0007 0.9763 -2.3 1.4 0.3
2025-05-21 11:04:46.272 16:26.2 3181.9 0.0164 -0.0007 0.9751 -2.3 1.2 0.2
2025-05-21 11:04:46.371 16:26.3 3221.2 0.0244 -0.0051 0.9832 -2.2 1.6 0.1
2025-05-21 11:04:46.472 16:26.4 3221.2 0.0164 0.0029 0.9768 -2.2 1.3 0.2
2025-05-21 11:04:46.572 16:26.5 3168.8 0.0203 -0.0066 0.9641 -2.0 1.6 0.3
2025-05-21 11:04:46.672 16:26.6 3142.6 0.0249 -0.0049 0.9739 -2.3 1.5 0.0
2025-05-21 11:04:46.772 16:26.7 3195.0 0.0259 -0.0056 0.9746 -2.3 1.3 0.2
2025-05-21 11:04:46.872 16:26.8 3221.2 0.0234 0.0020 0.9768 -2.3 1.3 -0.0
2025-05-21 11:04:46.972 16:26.9 3221.2 0.0168 0.0010 0.9661 -2.1 1.5 -0.0
2025-05-21 11:04:47.072 16:27.0 3208.1 0.0208 0.0000 0.9731 -2.3 1.1 0.3
2025-05-21 11:04:47.172 16:27.1 3208.1 0.0193 -0.0010 0.9739 -2.5 1.4 0.1
2025-05-21 11:04:47.272 16:27.2 3208.1 0.0198 0.0027 0.9778 -2.3 1.3 0.2
2025-05-21 11:04:47.372 16:27.3 3221.2 0.0176 0.0049 0.9705 -2.0 1.4 0.2
2025-05-21 11:04:47.472 16:27.4 3208.1 0.0195 0.0098 0.9819 -2.3 1.3 0.1
2025-05-21 11:04:47.572 16:27.5 3168.8 0.0215 0.0054 0.9756 -2.4 1.3 0.2
2025-05-21 11:04:47.672 16:27.6 3142.6 0.0188 0.0012 0.9761 -2.1 1.3 0.3
2025-05-21 11:04:47.772 16:27.7 3168.8 0.0166 0.0002 0.9722 -2.3 1.4 0.1
2025-05-21 11:04:47.872 16:27.8 3181.9 0.0212 0.0056 0.9644 -2.2 1.3 0.1
2025-05-21 11:04:47.973 16:27.9 3181.9 0.0193 -0.0034 0.9761 -2.3 1.4 0.1
2025-05-21 11:04:48.072 16:28.0 3195.0 0.0237 0.0007 0.9739 -2.0 1.4 0.3
2025-05-21 11:04:48.171 16:28.1 3168.8 0.0205 0.0002 0.9724 -2.1 1.3 0.3
2025-05-21 11:04:48.272 16:28.2 3155.7 0.0242 0.0007 0.9727 -2.2 1.3 0.2
2025-05-21 11:04:48.372 16:28.3 3168.8 0.0212 0.0034 0.9722 -2.3 1.6 0.2
2025-05-21 11:04:48.472 16:28.4 3168.8 0.0220 -0.0007 0.9780 -2.4 1.4 0.3
2025-05-21 11:04:48.572 16:28.5 3168.8 0.0247 0.0024 0.9734 -2.2 1.2 0.2
2025-05-21 11:04:48.673 16:28.6 3208.1 0.0210 -0.0002 0.9668 -2.0 1.7 0.2
2025-05-21 11:04:48.772 16:28.7 3221.2 -0.0669 0.0383 0.9497 -12.5 2.1 17.1
2025-05-21 11:04:48.872 16:28.8 3181.9 0.0410 -0.0107 0.9783 -2.1 1.9 -12.5
2025-05-21 11:04:48.972 16:28.9 3181.9 0.0190 -0.0071 0.9778 -2.2 1.1 0.3
2025-05-21 11:04:49.072 16:29.0 3208.1 0.0254 -0.0649 1.0352 15.3 0.8 -31.9
2025-05-21 11:04:49.172 16:29.1 3208.1 -0.0862 0.0496 1.0159 13.5 40.4 13.6
2025-05-21 11:04:49.273 16:29.2 3208.1 -0.0168 0.1245 0.9399 10.7 51.8 10.4
2025-05-21 11:04:49.372 16:29.3 3234.3 -0.1655 0.0791 0.9546 -20.3 36.8 9.0
2025-05-21 11:04:49.472 16:29.4 3208.1 -0.2566 0.0857 0.9548 -6.1 41.6 8.6
2025-05-21 11:04:49.572 16:29.5 3142.6 -0.2363 0.0688 0.7837 -0.9 81.0 18.9
2025-05-21 11:04:49.672 16:29.6 3142.6 -0.4451 0.0569 0.8494 -23.2 36.4 -9.5
2025-05-21 11:04:49.773 16:29.7 3155.7 -0.5356 0.0642 0.8188 -23.0 33.1 4.0
2025-05-21 11:04:49.872 16:29.8 3168.8 -0.5410 0.0608 0.7590 -19.1 2.9 0.0
2025-05-21 11:04:49.972 16:29.9 3181.9 -0.5615 0.0530 0.7981 -14.1 -15.5 -11.4
2025-05-21 11:04:50.072 16:30.0 3195.0 -0.4702 0.0317 0.7883 -4.1 0.9 -8.8
2025-05-21 11:04:50.173 16:30.1 3195.0 -0.5066 0.0173 0.8088 -0.0 13.2 4.3
2025-05-21 11:04:50.272 16:30.2 3168.8 -0.5176 0.0007 0.7783 -4.9 11.6 1.2
2025-05-21 11:04:50.372 16:30.3 3181.9 -0.5640 0.0085 0.7793 -14.0 -1.6 -1.7
2025-05-21 11:04:50.472 16:30.4 3181.9 -0.5315 -0.0027 0.7947 -0.4 0.7 -2.3
